Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Zeit der Coin Generierungsphase,Zeit des Teilens und Hochladens von Daten,Zeit der Bezahlung und Bewertung,Zeit für das Einlösen von Coins,Total time
10,30,100,3,1591,3898,12999,5224,23713
10,30,100,3,3624,5977,18036,6733,34372
