Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Zeit der Coin Generierungsphase,Zeit des Teilens und Hochladens von Daten,Zeit der Bezahlung und Bewertung,Zeit für das Einlösen von Coins,Total time
10,30,100,3,1657,4035,12872,5016,23582
10,30,100,3,1587,4010,9975,5052,20626
10,30,100,3,1619,3978,6622,5072,17292
